,生育場所,,,,,"花期
（月）",特記,学名,標準和名,記載分布,,,,,,,,
66,,,,,○（海岸）,4〜5,,Elaeagnus umbellata Thunb. var. rotundifolia Makino,マルバアキグミ,(海),互生,卵円形〜広楕円形,全縁,葉腋に束生,萼筒4裂,淡白黄色,食,
67,,,,,○（海岸）,7〜9,,Elaeagnus macrophylla Thunb. ,マルバグミ,(海),互生,広卵形,全縁,葉腋に束生,萼筒4裂,銀白色,食,
68,,,,○,○,8〜10,,Rotala indica (Willd.) Koehne　,キカシグサ,(全),対生,倒卵状楕円形,全縁,葉腋に1個ずつ,4,淡紅色,不明,
69,,,,,○,7〜8,,Lythrum anceps (Koehne) Makino　,ミソハギ,(津)(椛),十字状対生,広披針形,全縁,集散花序、穂状,4〜6,紅紫色,食・薬,
70,,○,,,,6〜9,,Trapa japonica Flerov,ヒシ,(高)(益),ロゼット状,沈水葉は狭長楕円形、浮葉は三角形,不整な鋸歯,花茎の先に1個,4,白色,食,
71,,,,,○,7〜9,,Circaea erubescens Franch･ et Savat,タニタデ,(高) (匹),対生,卵形〜披針形,全縁,総状,2、先端が浅く3裂,白色〜淡紅色,不明,
72,,,,,○,7〜9,,Epilobium pyrricholophum Franch. et Savat. var.pyrricholophum(Fr. et Sav.) ,アカバナ,(匹) (津) (椛) ,対生,卵形〜卵状楕円形,粗い鋸歯,葉腋に1個ずつ,4、先端が浅く2裂,淡紅白色〜紅色,不明,
73,,,,,○,8〜10,,Jussiaea postrata (Roxb.) Leveille　,チョウジタデ,(全),互生,披針形,全縁,葉腋に1〜2個ずつ,4〜5,黄色,不明,
74,○,○,,○,○,6〜10,,Ludwigia ovalis Miq.　,ミズユキノシタ,(益)(津),互生,卵形,全縁,葉腋に1個,無・萼片4裂,黄緑色〜緑色,不明,
75,○,○,,,,5〜10,,Myriophyllnm spicatum Linti. ,ホザキノフサモ,(高),4輪生,細裂した羽状葉・中軸と糸状羽片,,穂状花序,,"赤紫色雄花
白色7雌花",不明,
76,○,○,,○,○,,特定外来種,Myriophyllum aquaticum,オオフサモ,,5-6輪生,細裂した羽状葉・中軸と糸状羽片,,気中葉の葉腋,円筒状,白色,不明,
